ra,dec,tract,patch,mu_ave_i,g-i,viz-id
152.37813,-2.1847034,9086,"1,4",24.55147965324472,0.6356202207745202,697
38.0823414,-2.9401706,9010,"7,0",22.96901471396702,0.437420694427071,2653
128.4713252,-0.3905117,9313,"6,6",23.87885720515136,0.4911639693256663,2963
151.1125408,1.8948408,9814,"7,2",23.358928169558798,0.12195604347404106,3805
31.8970727,-4.0439644,8764,"8,2",22.98349347012265,0.5198121572422097,4144
35.6380629,-5.7134686,8524,"4,1",23.148638874913985,0.5943961620040323,4249
176.3969337,-1.8543287,9103,"7,6",24.872582136735712,0.4842412099974674,4363
147.2661794,-1.2846685,9325,"1,1",26.200855092532887,0.3379571368438305,5373
35.5373896,-2.554226,9008,"5,2",22.586081689633428,0.4536418820337604,5768
139.7315956,1.7504472,9806,"5,1",26.415699954204914,0.37836224867524443,6510
34.0048475,-2.0168006,9007,"5,5",22.48877567533406,0.2219579158897133,8311
31.3658208,-6.301836,8280,"4,6",26.143383404687135,0.15369739411109967,9577
28.9855159,-2.9498012,9004,"8,0",23.216432013846692,0.4240424392545218,10026
37.9767134,-2.790257,9010,"8,1",24.12496440716877,0.684531099483522,11170
29.0043871,-2.6150597,9004,"8,2",22.644694594569337,0.46793440724789237,11383
340.93827,3.1231682,10183,"3,1",23.877836046485818,0.6748753140245773,11878
335.3068108,1.5823243,9695,"1,8",22.683858282455102,0.5354590935912269,17306
184.34673,-1.0938023,9350,"1,2",23.250847677505664,0.5343819153739576,17950
188.2825934,-0.5351607,9353,"3,5",24.185999819152492,0.4483938302994545,27431
189.7608513,-0.6639012,9354,"3,4",24.454090351683153,0.28391866937265337,30796
209.9315987,-0.5257552,9368,"6,5",23.7841921100816,0.544410710323639,34585
139.6888462,0.4005861,9563,"2,2",24.609922536021184,0.6573222208358632,40252
190.8495612,1.4108881,9840,"2,0",24.45038659668375,0.3549671636652984,85778
189.055898,-1.0262437,9354,"7,3",22.12964342480999,0.499917819881224,87684
